id	source	pmid	doi	title	authorString	journalTitle	pubYear	journalIssn	pubType	isOpenAccess	inEPMC	inPMC	hasPDF	hasBook	hasSuppl	citedByCount	hasReferences	hasTextMinedTerms	hasDbCrossReferences	hasLabsLinks	hasTMAccessionNumbers	firstIndexDate	firstPublicationDate	pmcid	issue	journalVolume	pageInfo
32845360	MED	32845360	10.1007/s00701-020-04546-9	Avoiding predatory publishing for early career neurosurgeons: what should you know before you submit?	Deora H, Tripathi M, Chaurasia B, Grotenhuis JA.	Acta Neurochir (Wien)	2020	0001-6268; 0942-0940; 	review; journal article	N	N	N	N	N	N	0	N	Y	N	Y	N	2020-08-27	2020-08-26	NA	NA	NA	NA
33190460	MED	33190460	10.4258/hir.2020.26.4.265	Patient Consent Management by a Purpose-Based Consent Model for Electronic Health Record Based on Blockchain Technology.	Tith D, Lee JS, Suzuki H, Wijesundara WMAB, Taira N, Obi T, Ohyama N.	Healthc Inform Res	2020	2093-3681; 2093-369x; 	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	Y	N	2020-11-17	2020-10-31	PMC7674812	4	26	265-273
32709067	MED	32709067	10.3390/s20143989	Automatic Detection of Pornographic and Gambling Websites Based on Visual and Textual Content Using a Decision Mechanism.	Chen Y, Zheng R, Zhou A, Liao S, Liu L.	Sensors (Basel)	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2020-07-26	2020-07-17	PMC7411926	14	20	NA
32597785	MED	32597785	10.2196/16760	Toward the Development of Data Governance Standards for Using Clinical Free-Text Data in Health Research: Position Paper.	Jones KH, Ford EM, Lea N, Griffiths LJ, Hassan L, Heys S, Squires E, Nenadic G.	J Med Internet Res	2020	1439-4456; 1438-8871; 	research support, non-u.s. gov't; research-article; journal article	Y	Y	N	N	N	N	0	Y	Y	N	Y	N	2020-06-30	2020-06-29	PMC7367542	6	22	e16760
32471360	MED	32471360	10.1186/s12859-020-3510-1	A Bayesian data fusion based approach for learning genome-wide transcriptional regulatory networks.	Sauta E, Demartini A, Vitali F, Riva A, Bellazzi R.	BMC Bioinformatics	2020	1471-2105	research-article; journal article	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	Y	2020-05-31	2020-05-29	PMC7257163	1	21	219
32337372	MED	32337372	10.1038/s41746-020-0258-y	Protected Health Information filter (Philter): accurately and securely de-identifying free-text clinical notes.	Norgeot B, Muenzen K, Peterson TA, Fan X, Glicksberg BS, Schenk G, Rutenberg E, Oskotsky B, Sirota M, Yazdany J, Schmajuk G, Ludwig D, Goldstein T, Butte AJ.	NPJ Digit Med	2020	2398-6352	research-article; journal article	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	N	2020-04-28	2020-04-14	PMC7156708	NA	3	57
33024548	MED	33024548	10.12688/f1000research.23847.1	Inflated citations and metrics of journals discontinued from Scopus for publication concerns: the GhoS(t)copus Project. 	Cortegiani A, Ippolito M, Ingoglia G, Manca A, Cugusi L, Severin A, Strinzel M, Panzarella V, Campisi G, Manoj L, Gregoretti C, Einav S, Moher D, Giarratano A.	F1000Res	2020	2046-1402	im; research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	Y	Y	2020-10-16	2020-05-21	PMC7512033	NA	9	415
31703069	MED	31703069	10.1371/journal.pone.0224541	Identifying publications in questionable journals in the context of performance-based research funding.	Eykens J, Guns R, Rahman AIMJ, Engels TCE.	PLoS One	2019	1932-6203	research support, non-u.s. gov't; research-article; journal article	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	N	2019-11-09	2019-11-08	PMC6839901	11	14	e0224541
31164459	MED	31164459	10.1128/mbio.00411-19	Blacklists and Whitelists To Tackle Predatory Publishing: a Cross-Sectional Comparison and Thematic Analysis.	Strinzel M, Severin A, Milzow K, Egger M.	mBio	2019	2150-7511	comparative study; research support, non-u.s. gov't; research-article; journal article	Y	Y	N	Y	N	N	7	Y	Y	N	Y	Y	2019-06-13	2019-06-04	PMC6550518	3	10	NA
32990744	MED	32990744	10.1093/gigascience/giaa095	An extensible big data software architecture managing a research resource of real-world clinical radiology data linked to other health data from the whole Scottish population.	Nind T, Sutherland J, McAllister G, Hardy D, Hume A, MacLeod R, Caldwell J, Krueger S, Tramma L, Teviotdale R, Abdelatif M, Gillen K, Ward J, Scobbie D, Baillie I, Brooks A, Prodan B, Kerr W, Sloan-Murphy D, Herrera JFR, McManus D, Morris C, Sinclair C, Baxter R, Parsons M, Morris A, Jefferson E.	Gigascience	2020	2047-217x	research-article; journal article	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	Y	2020-10-11	2020-09-01	PMC7523405	10	9	NA
32319351	MED	32319351	10.1177/0192623320920209	Predatory Journals: What They Are and How to Avoid Them.	Elmore SA, Weston EH.	Toxicol Pathol	2020	0192-6233; 1533-1601; 	research-article; journal article; research support, n.i.h., extramural	N	Y	N	Y	N	N	0	Y	Y	N	Y	N	2020-04-24	2020-04-22	PMC7237319	4	48	607-610
PMC7302825	PMC	NA	NA	Malicious Domain Detection Based on K-means and SMOTE	Krzhizhanovskaya V, Závodszky G, Lees M, Dongarra J, Sloot P, Brissos S, Teixeira J, Wang Q, Li L, Jiang B, Lu Z, Liu J, Jian S.	Computational Science – ICCS 202020th International Conference, Amsterdam, The Netherlands, June 3–5, 2020, Proceedings, Part II	2020	NA	chapter-article	Y	Y	Y	Y	N	N	0	N	Y	N	N	N	2020-07-02	2020-06-15	PMC7302825	NA	12138	468-481
31575038	MED	31575038	10.3390/s19194258	A Deep-Learning-Driven Light-Weight Phishing Detection Sensor.	Wei B, Hamad RA, Yang L, He X, Wang H, Gao B, Woo WL.	Sensors (Basel)	2019	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	3	Y	Y	N	N	N	2019-10-05	2019-09-30	PMC6806092	19	19	NA
30983722	MED	30983722	10.4103/ijcm.ijcm_312_18	Are We Prepared to Save the Sanctity of Science from Predatory Journals?	Ramachandran V, Shankar EM.	Indian J Community Med	2019	0970-0218; 1998-3581; 	letter; journal article	Y	Y	N	N	N	N	0	Y	Y	N	Y	N	2019-04-15	2019-01-01	PMC6437802	1	44	72
30271301	MED	30271301	10.5195/jmla.2018.490	"Blacklists" and "whitelists": a salutary warning concerning the prevalence of racist language in discussions of predatory publishing.	Houghton F, Houghton S.	J Med Libr Assoc	2018	1536-5050; 1558-9439; 	article-commentary; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	Y	N	2018-10-01	2018-10-01	PMC6148600	4	106	527-530
32554388	MED	32554388	10.2196/18175	Hospital Bring-Your-Own-Device Security Challenges and Solutions: Systematic Review of Gray Literature.	Wani TA, Mendoza A, Gray K.	JMIR Mhealth Uhealth	2020	2291-5222	research support, non-u.s. gov't; research-article; review; journal article	Y	Y	N	N	N	Y	1	Y	Y	N	Y	N	2020-06-20	2020-06-18	PMC7333072	6	8	e18175
31127704	MED	31127704	10.1002/mgg3.641	VCF-Server: A web-based visualization tool for high-throughput variant data mining and management.	Jiang J, Gu J, Zhao T, Lu H.	Mol Genet Genomic Med	2019	2324-9269	research support, non-u.s. gov't; research-article; journal article	Y	Y	N	Y	N	Y	1	Y	Y	N	N	N	2019-05-26	2019-05-24	PMC6625089	7	7	e00641
31592226	MED	31592226	10.31662/jmaj.2019-0011	Do Preys Prey on Their Predators? Confusion Over Predatory "Hage-taka" Journals.	Takabe K, Nagahashi M, Butash AL, Wakai T.	Japan Med Assoc J	2019	1346-8650; 2188-8426; 	research-article; journal article	N	Y	N	N	N	N	0	Y	Y	N	N	N	2019-10-09	2019-06-06	PMC6779052	2	2	200-201
32163410	MED	32163410	10.1371/journal.pcbi.1007714	Comprehensive analysis of structural and sequencing data reveals almost unconstrained chain pairing in TCRαβ complex.	Shcherbinin DS, Belousov VA, Shugay M.	PLoS Comput Biol	2020	1553-734x; 1553-7358; 	research support, non-u.s. gov't; research-article; journal article	Y	Y	N	Y	N	Y	0	Y	N	N	Y	N	2020-03-13	2020-03-12	PMC7093030	3	16	e1007714
32611394	MED	32611394	10.1186/s12859-020-03593-4	RainDrop: Rapid activation matrix computation for droplet-based single-cell RNA-seq reads.	Niebler S, Müller A, Hankeln T, Schmidt B.	BMC Bioinformatics	2020	1471-2105	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	Y	Y	2020-07-03	2020-07-01	PMC7329424	1	21	274
29962584	MED	29962584	10.4103/ijpsym.ijpsym_290_17	Cabell's Blacklist: A New Way to Tackle Predatory Journals.	Das S, Chatterjee SS.	Indian J Psychol Med	2018	0253-7176; 0975-1564; 	letter; journal article	Y	Y	N	N	N	N	3	Y	Y	N	N	N	2018-07-03	2018-03-01	PMC6008990	2	40	197-198
33066802	MED	33066802	10.1186/s13059-020-02168-z	The design and construction of reference pangenome graphs with minigraph.	Li H, Feng X, Chu C.	Genome Biol	2020	1474-7596; 1474-760x; 	research-article; journal article; research support, n.i.h., extramural	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	Y	2020-10-18	2020-10-16	PMC7568353	1	21	265
33052904	MED	33052904	10.1371/journal.pgen.1008623	Comparing DNA replication programs reveals large timing shifts at centromeres of endocycling cells in maize roots.	Wear EE, Song J, Zynda GJ, Mickelson-Young L, LeBlanc C, Lee TJ, Deppong DO, Allen GC, Martienssen RA, Vaughn MW, Hanley-Bowdoin L, Thompson WF.	PLoS Genet	2020	1553-7390; 1553-7404; 	research-article; journal article	Y	Y	N	Y	N	Y	0	N	Y	N	Y	N	2020-10-16	2020-10-14	PMC7588055	10	16	e1008623
30950249	MED	30950249	10.3346/jkms.2019.34.e99	Revisiting the Term Predatory Open Access Publishing.	Memon AR.	J Korean Med Sci	2019	1598-6357; 1011-8934; 	brief-report; journal article	Y	Y	N	Y	N	N	4	Y	Y	N	Y	N	2019-04-11	2019-04-08	PMC6449603	13	34	e99
32956035	MED	32956035	10.7554/elife.60498	Genome-wide alterations of uracil distribution patterns in human DNA upon chemotherapeutic treatments.	Pálinkás HL, Békési A, Róna G, Pongor L, Papp G, Tihanyi G, Holub E, Póti Á, Gemma C, Ali S, Morten MJ, Rothenberg E, Pagano M, Szűts D, Győrffy B, Vértessy BG.	Elife	2020	2050-084x	research support, non-u.s. gov't; research-article; journal article	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	Y	2020-09-23	2020-09-21	PMC7505663	NA	9	NA
33066364	MED	33066364	10.3390/s20205802	Mapless Navigation Based on 2D LIDAR in Complex Unknown Environments.	Yan K, Ma B.	Sensors (Basel)	2020	1424-8220	letter	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-10-18	2020-10-14	PMC7602247	20	20	NA
31433002	MED	31433002	10.1590/1516-4446-2018-0352	Suicide mortality among youth in southern Brazil: a spatiotemporal evaluation of socioeconomic vulnerability.	Alarcão AC, Dell' Agnolo CM, Vissoci JR, Carvalho ECA, Staton CA, de Andrade L, Fontes KB, Pelloso SM, Nievola JC, Carvalho MD.	Braz J Psychiatry	2020	1516-4446; 1809-452x; 	research-article; journal article; observational study	Y	Y	N	Y	N	N	0	Y	Y	N	Y	N	2019-08-22	2020-01-01	PMC6986484	1	42	46-53
33105891	MED	33105891	10.3390/s20215997	Detection and Mitigation of RPL Rank and Version Number Attacks in the Internet of Things: SRPL-RP.	A Almusaylim Z, Jhanjhi NZ, Alhumam A.	Sensors (Basel)	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	Y	N	2020-10-28	2020-10-22	PMC7660197	21	20	NA
32823675	MED	32823675	10.3390/s20164540	Towards a Multi-Layered Phishing Detection.	Rendall K, Nisioti A, Mylonas A.	Sensors (Basel)	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	Y	Y	N	N	N	2020-08-22	2020-08-13	PMC7472607	16	20	NA
PMC5886516	PMC	NA	NA	Cabells Scholarly Analytics.	Hoffecker L.	J Med Libr Assoc	2018	1536-5050; 1558-9439; 	product-review; product review	Y	Y	Y	Y	N	N	0	N	Y	N	N	N	2018-04-28	2018-04-01	PMC5886516	2	106	270-272
PMC7183742	PMC	NA	NA	China’s Blacklist System under the Covid-19 Precautionary Lockdown Regime.	Hu Z.	Postdigital Science and Education	NA	2524-485x	editorial	Y	Y	Y	Y	N	N	0	N	Y	N	N	N	2020-05-05	2020-04-29	PMC7183742	NA	NA	1-6
PMC7597131	PMC	NA	NA	Detection of Algorithmically Generated Domain Names Using the Recurrent Convolutional Neural Network with Spatial Pyramid Pooling	Liu Z, Zhang Y, Chen Y, Fan X, Dong C.	Entropy (Basel)	2020	1099-4300	research-article; journal article	Y	Y	Y	Y	N	N	0	N	Y	N	N	N	2020-11-12	2020-09-01	PMC7597131	9	22	NA
32280813	MED	32280813	10.1016/j.adro.2019.09.001	Perceptions and Patterns in Academic Publishing: A Survey of United States Residents in Radiation Oncology.	Koroulakis A, Rice SR, DeCesaris C, Knight N, Nichols EM.	Adv Radiat Oncol	2020	2452-1094	research-article; journal article	Y	Y	N	Y	N	Y	0	Y	Y	N	Y	N	2020-04-13	2019-09-10	PMC7136641	2	5	146-151
31321180	MED	31321180	10.1097/gox.0000000000002178	The Past Informs the Present, Academic New Media Pitfalls: A Primer for Plastic Surgeons.	Day KM, Rohrich RJ, Spiess AM.	Plast Reconstr Surg Glob Open	2019	2169-7574	research-article; journal article	Y	Y	N	Y	N	N	1	Y	Y	N	Y	N	2019-07-20	2019-04-01	PMC6554188	4	7	e2178
28694718	MED	28694718	10.11613/bm.2017.029	What I learned from predatory publishers.	Beall J.	Biochem Med (Zagreb)	2017	1330-0962; 1846-7482; 	review-article; journal article	Y	Y	N	Y	N	N	27	Y	Y	N	Y	N	2017-07-12	2017-06-01	PMC5493177	2	27	273-278
31868652	MED	31868652	10.2196/16532	Preserving the Open Access Benefits Pioneered by the Journal of Medical Internet Research and Discouraging Fraudulent Journals.	Wyatt JC.	J Med Internet Res	2019	1439-4456; 1438-8871; 	research-article; journal article	Y	Y	N	N	N	N	0	Y	Y	N	Y	N	2019-12-30	2019-12-23	PMC6945122	12	21	e16532
28983732	MED	28983732	10.1007/s00296-017-3830-2	Publishing in black and white: the relevance of listing of scientific journals.	Misra DP, Ravindran V, Wakhlu A, Sharma A, Agarwal V, Negi VS.	Rheumatol Int	2017	0172-8172; 1437-160x; 	review; journal article	N	N	N	N	N	N	12	Y	N	N	Y	N	2017-10-07	2017-10-05	NA	11	37	1773-1778
33205130	MED	33205130	10.1016/j.patter.2020.100083	The Veterans Affairs Precision Oncology Data Repository, a Clinical, Genomic, and Imaging Research Database.	Elbers DC, Fillmore NR, Sung FC, Ganas SS, Prokhorenkov A, Meyer C, Hall RB, Ajjarapu SJ, Chen DC, Meng F, Grossman RL, Brophy MT, Do NV.	Patterns (N Y)	2020	2666-3899	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	Y	N	2020-11-19	2020-08-17	PMC7660389	6	1	100083
