year	all_hits	query_hits
1900	3128	4
1901	3195	5
1902	3285	3
1903	3427	7
1904	3617	4
1905	3660	5
1906	3557	3
1907	3863	0
1908	4233	1
1909	4563	7
1910	4638	3
1911	4814	2
1912	4717	7
1913	5008	2
1914	5029	2
1915	4488	3
1916	4307	3
1917	4010	4
1918	4066	4
1919	4387	2
1920	5034	3
1921	4632	1
1922	4133	1
1923	4476	3
1924	4936	1
1925	5052	5
1926	5382	4
1927	5934	6
1928	5521	6
1929	5770	4
1930	5669	2
1931	5538	4
1932	5614	1
1933	5672	3
1934	5556	2
1935	5703	7
1936	5411	1
1937	5349	1
1938	5807	2
1939	5587	3
1940	4981	0
1941	4848	6
1942	4772	2
1943	4561	2
1944	4791	4
1945	20513	3
1946	53929	4
1947	65050	2
1948	70757	5
1949	62827	3
1950	85792	1
1951	103821	5
1952	108182	3
1953	108924	6
1954	105942	3
1955	108562	5
1956	107015	8
1957	111528	2
1958	109467	2
1959	110000	0
1960	112222	4
1961	120180	7
1962	125694	4
1963	141540	4
1964	162110	3
1965	176737	1
1966	180184	2
1967	192052	3
1968	208157	8
1969	215347	3
1970	219424	7
1971	223608	9
1972	227810	2
1973	231127	5
1974	235108	10
1975	249189	3
1976	254955	3
1977	262169	5
1978	272526	5
1979	282074	3
1980	280626	3
1981	283584	5
1982	295738	5
1983	309496	6
1984	318213	9
1985	335277	5
1986	349630	5
1987	367897	4
1988	386993	6
1989	402660	4
1990	410540	4
1991	413078	6
1992	417840	6
1993	426566	7
1994	438078	10
1995	448921	13
1996	458439	10
1997	456592	40
1998	474523	9
1999	493568	16
2000	531940	24
2001	545527	36
2002	561251	30
2003	588342	36
2004	627949	41
2005	682175	48
2006	704678	67
2007	724102	75
2008	761844	83
2009	793051	112
2010	850965	114
2011	904613	126
2012	945788	168
2013	1003850	187
2014	1055287	239
2015	1095612	227
2016	1114973	241
2017	1135824	298
2018	1171517	317
2019	1230859	344
2020	1313009	316
