id	source	pmid	pmcid	doi	title	authorString	journalTitle	issue	journalVolume	pubYear	journalIssn	pubType	isOpenAccess	inEPMC	inPMC	hasPDF	hasBook	hasSuppl	citedByCount	hasReferences	hasTextMinedTerms	hasDbCrossReferences	hasLabsLinks	hasTMAccessionNumbers	firstIndexDate	firstPublicationDate	pageInfo
33066047	MED	33066047	PMC7601036	10.3390/s20205784	Distributed Nodes-Based Collaborative Sustaining of Precision Clock Synchronization Upon Master Clock Failure in IEEE 1588 System.	Son KJ, Chang TG.	Sensors (Basel)	20	20	2020	1424-8220	letter	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-10-18	2020-10-13	NA
33023094	MED	33023094	PMC7582894	10.3390/s20195635	A Feasibility Analysis of an Application-Based Partial Initialization (API) Protocol for Underwater Wireless Acoustic Sensor Networks.	Yun C, Choi S.	Sensors (Basel)	19	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-10-16	2020-10-02	NA
33108299	MED	33108299	NA	10.1109/tnnls.2020.3030638	Event-Triggered Output Feedback Synchronization of Master-Slave Neural Networks Under Deception Attacks.	Kazemy A, Lam J, Zhang XM.	IEEE Trans Neural Netw Learn Syst	NA	PP	2020	2162-237x; 2162-2388; 	journal article	N	N	N	N	N	N	0	N	N	N	N	N	2020-10-28	2020-10-27	NA
32906809	MED	32906809	PMC7571252	10.3390/s20185091	Discrete Sliding Mode Control Design for Bilateral Teleoperation System via Adaptive Extended State Observer.	Yan Y, Ding L, Yang Y, Liu F.	Sensors (Basel)	18	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-09-10	2020-09-07	NA
33247167	MED	33247167	PMC7695727	10.1038/s41598-020-77663-1	Steering complex networks toward desired dynamics.	Gutiérrez R, Materassi M, Focardi S, Boccaletti S.	Sci Rep	1	10	2020	2045-2322	research support, non-u.s. gov't; research-article; journal article	Y	Y	N	Y	N	Y	0	N	Y	N	N	N	2020-11-29	2020-11-27	20744
33202636	MED	33202636	PMC7697645	10.3390/s20226513	Optimization of Time Synchronization and Algorithms with TDOA Based Indoor Positioning Technique for Internet of Things.	Zhao K, Zhao T, Zheng Z, Yu C, Ma D, Rabie K, Kharel R.	Sensors (Basel)	22	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-11-18	2020-11-14	NA
33143366	MED	33143366	PMC7662761	10.3390/s20216210	A Multi-Node Magnetic Positioning System with a Distributed Data Acquisition Architecture.	Santoni F, De Angelis A, Moschitta A, Carbone P.	Sensors (Basel)	21	20	2020	1424-8220	research-article; journal article	Y	Y	N	Y	N	N	0	N	Y	N	N	N	2020-11-04	2020-10-30	NA
32794625	MED	32794625	NA	10.1002/rcs.2147	A highly intuitive and ergonomic redundant joint master device for four-degrees of freedom flexible endoscopic surgery robot.	Ahn J, Kim J, Lee H, Hwang M, Kwon DS.	Int J Med Robot	NA	NA	2020	1478-5951; 1478-596x; 	journal article	N	N	N	N	N	N	0	N	N	N	N	N	2020-08-15	2020-08-14	e2147
33156725	MED	33156725	NA	10.1089/lap.2020.0637	Master and Apprentice or a Slave to Technology? A Randomized Controlled Trial of Minimal Access Surgery Simulation-Based Training Techniques.	MacArthur-Beadle I, Nair DVK, Cook NJ, Yi M, Jones R, Beasley SW, Wells JM.	J Laparoendosc Adv Surg Tech A	NA	NA	2020	1092-6429; 1557-9034; 	journal article	N	N	N	N	N	N	0	N	Y	N	N	N	2020-11-08	2020-11-06	NA
33182694	MED	33182694	PMC7711794	10.3390/bioengineering7040143	Correlating Grip Force Signals from Multiple Sensors Highlights Prehensile Control Strategies in a Complex Task-User System.	Dresp-Langley B, Nageotte F, Zanne P, Mathelin M.	Bioengineering (Basel)	4	7	2020	2306-5354	research-article; journal article	Y	Y	N	Y	N	Y	0	N	Y	N	N	N	2020-11-13	2020-11-10	NA
