journal_title	no_of_articles
Sensors (Basel)	469
PLoS One	151
Sci Rep	129
Opt Express	54
ScientificWorldJournal	49
BMC Bioinformatics	45
Int J Med Robot	45
Materials (Basel)	37
Annu Int Conf IEEE Eng Med Biol Soc	36
Phys Rev E Stat Nonlin Soft Matter Phys	36
Int J Comput Assist Radiol Surg	30
Nat Commun	27
Proc Natl Acad Sci U S A	25
IEEE Trans Cybern	24
ISA Trans	23
Opt Lett	23
Surg Endosc	21
Chaos	20
Front Psychol	20
IEEE Trans Neural Netw Learn Syst	20
Micromachines (Basel)	20
Biomed Res Int	19
Entropy (Basel)	19
Biomed Opt Express	18
Rev Sci Instrum	18
J Neuroeng Rehabil	16
Nucleic Acids Res	16
Biomed Eng Online	15
Front Neurosci	15
Stud Health Technol Inform	14
Ann Biomed Eng	13
BMC Syst Biol	13
Biophys J	12
Elife	12
IEEE Trans Biomed Eng	12
PLoS Comput Biol	12
Appl Opt	11
Exp Brain Res	11
Heliyon	11
J Healthc Eng	11
J Biomed Opt	10
J Comput Chem	10
J Neurosci	10
J Robot Surg	10
Minim Invasive Ther Allied Technol	10
Rep U S	10
Springerplus	10
Appl Bionics Biomech	9
Bioinformatics	9
Br J Gen Pract	9
Front Hum Neurosci	9
IEEE Int Conf Robot Autom	9
IEEE Trans Haptics	9
J Minim Access Surg	9
PLoS Biol	9
Proc (Bayl Univ Med Cent)	9
R Soc Open Sci	9
Ann R Coll Surg Engl	8
BMC Genomics	8
Cogn Neurodyn	8
Comput Intell Neurosci	8
Computers and electronics in agriculture.	8
Conf Proc IEEE Eng Med Biol Soc	8
Genetics	8
IEEE Trans Robot	8
Int J Mol Sci	8
J Chem Phys	8
Med Image Comput Comput Assist Interv	8
Neural Netw	8
Philos Trans R Soc Lond B Biol Sci	8
BMC Med Inform Decis Mak	7
Comput Math Methods Med	7
Front Neurol	7
Int J Environ Res Public Health	7
J Biomech Eng	7
J R Soc Interface	7
J Thorac Dis	7
Philos Trans A Math Phys Eng Sci	7
Phys Rev Lett	7
Proc Inst Mech Eng H	7
Artif Organs	6
Bone	6
Front Comput Neurosci	6
Front Neuroinform	6
Genome Biol	6
Int J Rob Res	6
J Appl Physiol (1985)	6
J Neurosci Methods	6
Med Biol Eng Comput	6
Med Hist	6
Neuroimage	6
Phys Rev E	6
World J Gastroenterol	6
Biomech Model Mechanobiol	5
Biomed Microdevices	5
BMJ	5
Cold Spring Harb Symp Quant Biol	5
Data Brief	5
Front Bioeng Biotechnol	5
Front Neurorobot	5
